"subj","timepoint","block","setsize","cor","mval"
4,4,1,2,0,4.45639545454545
4,4,1,2,1,-0.794293193548387
4,4,1,4,0,-2.729560625
4,4,1,4,1,-1.95581966666667
4,4,1,6,0,-2.805188125
4,4,1,6,1,-1.56894222222222
4,4,2,2,0,0.706628571428572
4,4,2,2,1,-2.11310097560976
4,4,2,4,0,-1.679089375
4,4,2,4,1,-0.978141290322581
4,4,2,6,0,-0.824978571428571
4,4,2,6,1,-1.5708936
4,4,3,2,0,5.106
4,4,3,2,1,-0.674522675
4,4,3,4,0,0.144412705882353
4,4,3,4,1,0.000555714285714266
4,4,3,6,0,-2.116902
4,4,3,6,1,1.37769409090909
4,4,4,2,0,1.1136375
4,4,4,2,1,-0.644900285714286
4,4,4,4,0,-0.356733529411765
4,4,4,4,1,-3.29828888888889
4,4,4,6,0,-1.0646805
4,4,4,6,1,2.83689461538462
4,4,5,2,0,0.2547575
4,4,5,2,1,-2.34928060606061
4,4,5,4,0,-0.0655811111111111
4,4,5,4,1,0.24011
4,4,5,6,0,-3.75077058823529
4,4,5,6,1,-1.25187772727273
4,8,1,2,0,4.45556518181818
4,8,1,2,1,-0.606224516129032
4,8,1,4,0,-3.64768433125
4,8,1,4,1,-1.60929466666667
4,8,1,6,0,-1.9837483125
4,8,1,6,1,-1.27079088888889
4,8,2,2,0,1.42740471428571
4,8,2,2,1,-1.95103097560976
4,8,2,4,0,-2.31389375
4,8,2,4,1,-1.11594129032258
4,8,2,6,0,-0.32113
4,8,2,6,1,-1.5315604
4,8,3,2,0,6.97501333333333
4,8,3,2,1,-0.85208475
4,8,3,4,0,-0.917743529411765
4,8,3,4,1,0.708692142857143
4,8,3,6,0,-1.2037108
4,8,3,6,1,1.26774445454545
4,8,4,2,0,-1.56261
4,8,4,2,1,-1.02157257142857
4,8,4,4,0,-0.0690394117647059
4,8,4,4,1,-2.12145166666667
4,8,4,6,0,-0.81012105
4,8,4,6,1,3.0316
4,8,5,2,0,0.69605125
4,8,5,2,1,-2.50584657575758
4,8,5,4,0,-0.943767777777778
4,8,5,4,1,0.653332307692308
4,8,5,6,0,-3.18016588235294
4,8,5,6,1,-0.699358636363636
4,12,1,2,0,4.13444545454545
4,12,1,2,1,-1.05661387096774
4,12,1,4,0,-3.8982305625
4,12,1,4,1,-2.30714866666667
4,12,1,6,0,-0.00189500000000001
4,12,1,6,1,-1.40164740740741
4,12,2,2,0,2.99069428571429
