"subj","block","cor","setsize","mval"
4,1,0,2,4.41215801964809
4,1,0,4,-0.651016591733871
4,1,0,6,1.60534760818548
4,1,1,2,1.7645801562435
4,1,1,4,1.6709156388172
4,1,1,6,1.46439111756272
4,2,0,2,6.72321399884793
4,2,0,4,3.62658952217742
4,2,0,6,1.11340275687404
4,2,1,2,2.6757380779701
4,2,1,4,1.41708373299636
4,2,1,6,4.91983487612903
4,3,0,2,0.161180634408602
4,3,0,4,1.46336875464896
4,3,0,6,1.81256023696774
4,3,1,2,4.75626432508064
4,3,1,4,4.26438453917051
4,3,1,6,1.82645719281525
4,4,0,2,10.8114976612903
4,4,0,4,2.01355422296015
4,4,0,6,1.86124350766129
4,4,1,2,2.61306710327189
4,4,1,4,-1.44539160591398
4,4,1,6,6.25823079491315
4,5,0,2,4.56217571270161
4,5,0,4,5.52480139964158
4,5,0,6,-4.89214322106262
4,5,1,2,4.60159390713588
4,5,1,4,0.165161526799007
4,5,1,6,2.27287429398827
5,1,0,2,-12.2328548387097
5,1,0,4,-0.720531968690702
5,1,0,6,1.22999618492286
5,1,1,2,-0.0364897303646564
5,1,1,4,0.118069196662959
5,1,1,6,2.59249966735484
5,2,0,2,-5.68632595967742
5,2,0,4,2.93394174472141
5,2,0,6,1.90484331270161
5,2,1,2,1.92058383260138
5,2,1,4,2.16261038183731
5,2,1,6,0.169965090887097
5,3,0,2,2.84436753225806
5,3,0,4,-3.83071009501466
5,3,0,6,-2.44351268682796
5,3,1,2,1.85985851502933
5,3,1,4,1.78803763595825
5,3,1,6,-0.402507452282878
5,4,0,2,-2.79360848924731
5,4,0,4,0.313209044802867
5,4,0,6,2.10553301544803
5,4,1,2,1.97394656439811
5,4,1,4,1.29239201985112
5,4,1,6,-1.56414462270968
5,5,0,2,-0.340041998387097
5,5,0,4,0.578255934040747
5,5,0,6,1.57610788488351
5,5,1,2,0.371704894393241
5,5,1,4,0.329308393548387
5,5,1,6,1.88174048739546
6,1,0,2,-2.0166207388425
6,1,0,4,-1.30668603548387
6,1,0,6,1.63782233431085
6,1,1,2,1.95108222693548
6,1,1,4,-0.270637482187938
6,1,1,6,3.50690624872666
6,2,0,2,-0.105756385483871
6,2,0,4,2.042851358181
6,2,0,6,-0.630260324039939
6,2,1,2,1.43403793936792
6,2,1,4,2.079080384447
6,2,1,6,0.762016551075269
6,3,0,2,3.20446823655914
6,3,0,4,1.37859640225806
6,3,0,6,1.38250611337366
6,3,1,2,0.501033460582219
6,3,1,4,0.878231196898263
6,3,1,6,0.207001449320883
6,4,0,2,0.588569437788018
6,4,0,4,-1.67849814758065
6,4,0,6,-0.656087427580645
6,4,1,2,0.324583449546371
6,4,1,4,-1.06786207315668
6,4,1,6,-0.267908042616487
6,5,0,2,-0.91140914516129
6,5,0,4,-0.443830957495256
6,5,0,6,-0.29500269348865
6,5,1,2,0.997009902721774
6,5,1,4,0.943640136056191
6,5,1,6,-0.74303893141321
7,1,0,2,-7.26799643010753
7,1,0,4,3.65208748387097
7,1,0,6,1.01265099746544
7,1,1,2,-1.24181063073005
7,1,1,4,1.84959143956762
7,1,1,6,4.46970736502016
7,2,0,2,-5.60526758064516
7,2,0,4,1.1345488844086
7,2,0,6,3.44457583669355
7,2,1,2,1.87688132580645
7,2,1,4,-0.160489481317204
7,2,1,6,3.01936483640553
7,3,0,2,5.55133077419355
7,3,0,4,-1.71393541532258
7,3,0,6,4.77033365322581
7,3,1,2,2.61519830645161
7,3,1,4,-1.22730969749104
7,3,1,6,7.81993691487455
